"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
1;50000;"NFTS";22;8;8.37;6.73;80;488.1;168.95;319.14;34.6;"2022-10-18 18:35:01"
2;50000;"NFTS";4;8;8.37;6.71;80;488.1;168.95;319.14;34.6;"2022-10-18 18:35:11"
3;50000;"NFTS";5;8;8.37;6.68;80;488.1;168.95;319.14;34.6;"2022-10-18 18:35:22"
4;50000;"NFTS";2;8;8.37;6.44;77;488.1;168.95;319.14;34.6;"2022-10-18 18:35:32"
5;50000;"NFTS";0;8;8.37;6.44;77;488.1;168.95;319.14;34.6;"2022-10-18 18:35:42"
6;50000;"NFTS";4;8;8.37;6.43;77;488.1;168.95;319.14;34.6;"2022-10-18 18:35:52"
7;50000;"NFTS";47;8;8.37;7.28;87;488.1;168.96;319.14;34.6;"2022-10-18 18:36:02"
8;50000;"NFTS";9;8;8.37;7.32;88;488.1;168.94;319.15;34.6;"2022-10-18 18:36:12"
9;50000;"NFTS";7;8;8.37;7.32;87;488.1;168.94;319.15;34.6;"2022-10-18 18:36:22"
10;50000;"NFTS";18;8;8.37;7.32;87;488.1;168.94;319.15;34.6;"2022-10-18 18:36:32"
11;50000;"NFTS";13;8;8.37;7.32;87;488.1;168.94;319.15;34.6;"2022-10-18 18:36:42"
12;50000;"NFTS";11;8;8.37;7.23;86;488.1;168.94;319.15;34.6;"2022-10-18 18:36:52"
13;50000;"NFTS";14;8;8.37;7.25;87;488.1;168.94;319.15;34.6;"2022-10-18 18:37:02"
14;50000;"NFTS";13;8;8.37;7.24;87;488.1;168.94;319.15;34.6;"2022-10-18 18:37:12"
15;50000;"NFTS";67;8;8.37;7.84;94;488.1;168.96;319.14;34.6;"2022-10-18 18:37:22"
16;50000;"NFTS";84;8;8.37;7.82;93;488.1;168.97;319.12;34.6;"2022-10-18 18:37:32"
17;50000;"NFTS";75;8;8.37;7.66;92;488.1;168.99;319.1;34.6;"2022-10-18 18:37:42"
18;50000;"NFTS";72;8;8.37;7.29;87;488.1;168.99;319.1;34.6;"2022-10-18 18:37:52"
19;50000;"NFTS";89;8;8.37;7.32;87;488.1;169.04;319.05;34.6;"2022-10-18 18:38:02"
20;50000;"NFTS";79;8;8.37;7.33;88;488.1;169.01;319.08;34.6;"2022-10-18 18:38:12"
21;50000;"NFTS";75;8;8.37;7.44;89;488.1;169.01;319.08;34.6;"2022-10-18 18:38:22"
22;50000;"NFTS";75;8;8.37;7.4;88;488.1;169.01;319.08;34.6;"2022-10-18 18:38:32"
23;50000;"NFTS";77;8;8.37;7.44;89;488.1;169.02;319.08;34.6;"2022-10-18 18:38:42"
24;50000;"NFTS";76;8;8.37;7.42;89;488.1;169.02;319.07;34.6;"2022-10-18 18:38:52"
25;50000;"NFTS";77;8;8.37;7.49;89;488.1;169.02;319.07;34.6;"2022-10-18 18:39:02"
26;50000;"NFTS";76;8;8.37;7.51;90;488.1;169.02;319.07;34.6;"2022-10-18 18:39:12"
27;50000;"NFTS";77;8;8.37;7.54;90;488.1;169.02;319.07;34.6;"2022-10-18 18:39:22"
28;50000;"NFTS";76;8;8.37;7.54;90;488.1;169.02;319.07;34.6;"2022-10-18 18:39:32"
29;50000;"NFTS";76;8;8.37;7.56;90;488.1;169.02;319.07;34.6;"2022-10-18 18:39:42"
30;50000;"NFTS";76;8;8.37;7.59;91;488.1;169.02;319.07;34.6;"2022-10-18 18:39:52"
31;50000;"NFTS";77;8;8.37;7.61;91;488.1;169.02;319.07;34.6;"2022-10-18 18:40:02"
32;50000;"NFTS";77;8;8.37;7.51;90;488.1;169.02;319.07;34.6;"2022-10-18 18:40:12"
33;50000;"NFTS";75;8;8.37;7.53;90;488.1;169.03;319.07;34.6;"2022-10-18 18:40:22"
34;50000;"NFTS";72;8;8.37;7.55;90;488.1;169.02;319.07;34.6;"2022-10-18 18:40:33"
35;50000;"NFTS";74;8;8.37;7.55;90;488.1;169.02;319.07;34.6;"2022-10-18 18:40:43"
36;50000;"NFTS";75;8;8.37;7.53;90;488.1;169.02;319.07;34.6;"2022-10-18 18:40:53"
37;50000;"NFTS";79;8;8.37;7.85;94;488.1;169.02;319.07;34.6;"2022-10-18 18:41:03"
38;50000;"NFTS";76;8;8.37;7.64;91;488.1;169.02;319.07;34.6;"2022-10-18 18:41:13"
39;50000;"NFTS";75;8;8.37;7.69;92;488.1;169.02;319.08;34.6;"2022-10-18 18:41:23"
40;50000;"NFTS";78;8;8.37;7.78;93;488.1;169.02;319.08;34.6;"2022-10-18 18:41:33"
41;50000;"NFTS";76;8;8.37;7.72;92;488.1;169.02;319.07;34.6;"2022-10-18 18:41:43"
42;50000;"NFTS";78;8;8.37;7.71;92;488.1;169.02;319.07;34.6;"2022-10-18 18:41:53"
