"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
1;50000;"NFTS";33;8;8.37;6.01;72;488.1;168.39;319.71;34.5;"2022-10-18 06:04:15"
2;50000;"NFTS";4;8;8.37;6.01;72;488.1;168.39;319.71;34.5;"2022-10-18 06:04:18"
3;50000;"NFTS";9;8;8.37;5.98;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:21"
4;50000;"NFTS";12;8;8.37;5.97;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:24"
5;50000;"NFTS";18;8;8.37;5.98;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:27"
6;50000;"NFTS";24;8;8.37;5.99;72;488.1;168.39;319.71;34.5;"2022-10-18 06:04:30"
7;50000;"NFTS";3;8;8.37;5.98;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:33"
8;50000;"NFTS";3;8;8.37;5.97;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:36"
9;50000;"NFTS";3;8;8.37;5.95;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:39"
10;50000;"NFTS";14;8;8.37;5.96;71;488.1;168.39;319.71;34.5;"2022-10-18 06:04:43"
11;50000;"NFTS";42;8;8.37;6.17;74;488.1;168.39;319.71;34.5;"2022-10-18 06:04:46"
12;50000;"NFTS";85;8;8.37;6.92;83;488.1;168.39;319.7;34.5;"2022-10-18 06:04:49"
13;50000;"NFTS";89;8;8.37;7.15;85;488.1;168.4;319.7;34.5;"2022-10-18 06:04:52"
14;50000;"NFTS";84;8;8.37;7.35;88;488.1;168.4;319.7;34.5;"2022-10-18 06:04:55"
15;50000;"NFTS";67;8;8.37;7.41;89;488.1;168.43;319.67;34.5;"2022-10-18 06:04:58"
16;50000;"NFTS";47;8;8.37;7.26;87;488.1;168.46;319.64;34.5;"2022-10-18 06:05:01"
17;50000;"NFTS";32;8;8.37;7.23;86;488.1;168.46;319.63;34.5;"2022-10-18 06:05:04"
18;50000;"NFTS";27;8;8.37;7.26;87;488.1;168.46;319.63;34.5;"2022-10-18 06:05:07"
19;50000;"NFTS";18;8;8.37;7.26;87;488.1;168.46;319.63;34.5;"2022-10-18 06:05:10"
20;50000;"NFTS";18;8;8.37;7.25;87;488.1;168.47;319.63;34.5;"2022-10-18 06:05:13"
21;50000;"NFTS";25;8;8.37;7.24;86;488.1;168.47;319.63;34.5;"2022-10-18 06:05:16"
22;50000;"NFTS";16;8;8.37;7.22;86;488.1;168.47;319.63;34.5;"2022-10-18 06:05:19"
23;50000;"NFTS";32;8;8.37;7.39;88;488.1;168.47;319.63;34.5;"2022-10-18 06:05:22"
24;50000;"NFTS";25;8;8.37;7.36;88;488.1;168.47;319.63;34.5;"2022-10-18 06:05:25"
25;50000;"NFTS";37;8;8.37;7.35;88;488.1;168.47;319.63;34.5;"2022-10-18 06:05:28"
26;50000;"NFTS";12;8;8.37;7.34;88;488.1;168.47;319.63;34.5;"2022-10-18 06:05:31"
27;50000;"NFTS";19;8;8.37;7.44;89;488.1;168.47;319.63;34.5;"2022-10-18 06:05:34"
28;50000;"NFTS";17;8;8.37;7.38;88;488.1;168.47;319.63;34.5;"2022-10-18 06:05:37"
29;50000;"NFTS";27;8;8.37;7.67;92;488.1;168.47;319.63;34.5;"2022-10-18 06:05:40"
30;50000;"NFTS";17;8;8.37;7.58;91;488.1;168.48;319.62;34.5;"2022-10-18 06:05:44"
31;50000;"NFTS";4;8;8.37;7.41;89;488.1;168.48;319.62;34.5;"2022-10-18 06:05:47"
32;50000;"NFTS";4;8;8.37;7.4;88;488.1;168.48;319.62;34.5;"2022-10-18 06:05:50"
33;50000;"NFTS";3;8;8.37;7.37;88;488.1;168.48;319.62;34.5;"2022-10-18 06:05:53"
34;50000;"NFTS";7;8;8.37;7.37;88;488.1;168.48;319.62;34.5;"2022-10-18 06:05:56"
35;50000;"NFTS";4;8;8.37;7.37;88;488.1;168.48;319.62;34.5;"2022-10-18 06:05:59"
36;50000;"NFTS";5;8;8.37;7.36;88;488.1;168.48;319.62;34.5;"2022-10-18 06:06:02"
37;50000;"NFTS";4;8;8.37;7.36;88;488.1;168.48;319.62;34.5;"2022-10-18 06:06:05"
38;50000;"NFTS";4;8;8.37;7.35;88;488.1;168.48;319.62;34.5;"2022-10-18 06:06:08"
39;50000;"NFTS";5;8;8.37;7.36;88;488.1;168.48;319.62;34.5;"2022-10-18 06:06:11"
40;50000;"NFTS";6;8;8.37;7.36;88;488.1;168.48;319.62;34.5;"2022-10-18 06:06:14"
41;50000;"NFTS";13;8;8.37;7.34;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:17"
42;50000;"NFTS";18;8;8.37;7.37;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:20"
43;50000;"NFTS";15;8;8.37;7.36;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:23"
44;50000;"NFTS";6;8;8.37;7.35;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:26"
45;50000;"NFTS";3;8;8.37;7.35;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:29"
46;50000;"NFTS";3;8;8.37;7.34;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:32"
47;50000;"NFTS";7;8;8.37;7.36;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:35"
48;50000;"NFTS";7;8;8.37;7.33;88;488.1;168.48;319.61;34.5;"2022-10-18 06:06:38"
49;50000;"NFTS";2;8;8.37;7.3;87;488.1;168.48;319.61;34.5;"2022-10-18 06:06:42"
50;50000;"NFTS";4;8;8.37;7.3;87;488.1;168.48;319.61;34.5;"2022-10-18 06:06:45"
51;50000;"NFTS";10;8;8.37;7.32;87;488.1;168.48;319.61;34.5;"2022-10-18 06:06:48"
52;50000;"NFTS";8;8;8.37;7.27;87;488.1;168.48;319.61;34.5;"2022-10-18 06:06:51"
53;50000;"NFTS";8;8;8.37;7.3;87;488.1;168.48;319.61;34.5;"2022-10-18 06:06:54"
54;50000;"NFTS";4;8;8.37;7.3;87;488.1;168.48;319.61;34.5;"2022-10-18 06:06:57"
55;50000;"NFTS";5;8;8.37;7.31;87;488.1;168.48;319.61;34.5;"2022-10-18 06:07:00"
56;50000;"NFTS";20;8;8.37;7.07;85;488.1;168.48;319.61;34.5;"2022-10-18 06:07:03"
57;50000;"NFTS";5;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:06"
58;50000;"NFTS";2;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:09"
59;50000;"NFTS";3;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:12"
60;50000;"NFTS";4;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:15"
61;50000;"NFTS";3;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:18"
62;50000;"NFTS";6;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:21"
63;50000;"NFTS";2;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:24"
64;50000;"NFTS";3;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:27"
65;50000;"NFTS";3;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:30"
66;50000;"NFTS";3;8;8.37;7.07;85;488.1;168.48;319.61;34.5;"2022-10-18 06:07:33"
67;50000;"NFTS";5;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:36"
68;50000;"NFTS";2;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:39"
69;50000;"NFTS";6;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:43"
70;50000;"NFTS";4;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:46"
71;50000;"NFTS";4;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:49"
72;50000;"NFTS";5;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:52"
73;50000;"NFTS";4;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:55"
74;50000;"NFTS";6;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:58"
75;50000;"NFTS";2;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:08:01"
76;50000;"NFTS";4;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:08:04"
77;50000;"NFTS";2;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:08:07"
78;50000;"NFTS";6;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:10"
79;50000;"NFTS";2;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:13"
80;50000;"NFTS";7;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:16"
81;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:19"
82;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:22"
83;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:25"
84;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:28"
85;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:31"
86;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:34"
87;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:37"
88;50000;"NFTS";6;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:40"
89;50000;"NFTS";3;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:43"
90;50000;"NFTS";2;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:47"
