"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
1;50000;"NFTS";16;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
2;50000;"NFTS";13;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
3;50000;"NFTS";19;8;8.37;7.52;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
4;50000;"NFTS";14;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
5;50000;"NFTS";4;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
6;50000;"NFTS";10;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
7;50000;"NFTS";11;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
8;50000;"NFTS";5;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:35"
9;50000;"NFTS";3;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
10;50000;"NFTS";8;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
11;50000;"NFTS";8;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
12;50000;"NFTS";28;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
13;50000;"NFTS";8;8;8.37;7.52;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
14;50000;"NFTS";12;8;8.37;7.52;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
15;50000;"NFTS";4;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:36"
16;50000;"NFTS";11;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
17;50000;"NFTS";11;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
18;50000;"NFTS";11;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
19;50000;"NFTS";6;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
20;50000;"NFTS";8;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
21;50000;"NFTS";13;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
22;50000;"NFTS";8;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:37"
23;50000;"NFTS";10;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
24;50000;"NFTS";23;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
25;50000;"NFTS";15;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
26;50000;"NFTS";6;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
27;50000;"NFTS";3;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
28;50000;"NFTS";3;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
29;50000;"NFTS";8;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:38"
30;50000;"NFTS";8;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
31;50000;"NFTS";8;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
32;50000;"NFTS";8;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
33;50000;"NFTS";8;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
34;50000;"NFTS";6;8;8.37;7.56;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
35;50000;"NFTS";6;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
36;50000;"NFTS";5;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
37;50000;"NFTS";8;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:39"
38;50000;"NFTS";4;8;8.37;7.55;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
39;50000;"NFTS";45;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
40;50000;"NFTS";8;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
41;50000;"NFTS";8;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
42;50000;"NFTS";5;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
43;50000;"NFTS";2;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
44;50000;"NFTS";8;8;8.37;7.54;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:40"
45;50000;"NFTS";8;8;8.37;7.53;90;488.1;167.01;321.09;34.2;"2022-10-15 11:02:41"
